Brewery,City,Name,Abv,Ibu,Srm,Tags
Hite Brewery,Seoul,Hite,4.5%,?,?,north_american_lager|american_style_lager
Jinro Coors Brewing,Seoul,Cass Fresh,?,?,?,north_american_lager|american_style_lager
Oriental Brewery,?,OB Lager,4.4%,?,?,north_american_lager|american_style_lager
