Brewery,City,Name,Abv,Ibu,Srm,Tags
Cervecera Jerome,Mendoza,Cerveza Diablo,7.5%,?,?,north_american_lager|american_style_lager
Cervecera Jerome,Mendoza,Cerveza Negra,6.5%,?,?,north_american_ale|american_style_stout
Cervecera Jerome,Mendoza,Cerveza Roja,6%,?,?,german_lager|german_style_oktoberfest
Cervecera Jerome,Mendoza,Rubia,6%,?,?,north_american_lager|american_style_lager
