Brewery,City,Name,Abv,Ibu,Srm,Tags
Carlsberg Sverige AB,Falkenberg,Carnegie Stark-Porter,5.5%,?,?,irish_ale|porter
Carlsberg Sverige AB,Falkenberg,Falcon Lagrad Gammelbrygd,5.6%,?,?,british_ale|old_ale
Nordsj Grdsbryggeri,Motala,Ã–stgÃ¶ta BlÃ¥bÃ¤rs,?,?,?,?
Pripps Ringnes Bryggerier,Bromma,D. Carnegie and Company Porter,5.5%,?,?,north_american_ale|american_style_stout
Slottskllans Bryggeri,Uppsala,Vrak,5.4%,?,?,?
Vivungs Bryggeri,Romakloster,DragÃ¶l,?,?,?,?
Vivungs Bryggeri,Romakloster,Romakloster,4.5%,?,?,?
