Brewery,City,Name,Abv,Ibu,Srm,Tags
Big Rock Brewery,Calgary,Albino Rhino (discontinued),?,?,?,north_american_ale|american_style_pale_ale
Big Rock Brewery,Calgary,Buzzard Breath (discontinued),5%,?,?,north_american_ale|american_style_pale_ale
Big Rock Brewery,Calgary,Cold Cock Porter (discontinued),?,?,?,irish_ale|porter
Big Rock Brewery,Calgary,Grasshopper,?,?,?,other_style|light_american_wheat_ale_or_lager
Big Rock Brewery,Calgary,Traditional Ale,5%,?,?,north_american_ale|american_style_brown_ale
Wyder's Cider,Calgary,Dry Pear Hard Cider,?,?,?,?
