Brewery,City,Name,Abv,Ibu,Srm,Tags
BOSS Browar Witnica S.A.,Witnica,Mocny BOSS / BOSS Beer,8.1%,?,?,north_american_lager|american_style_lager
BOSS Browar Witnica S.A.,Witnica,Porter Czarny Boss / Black BOSS Porter,9.6%,?,?,north_american_ale|american_style_stout
Browar NamysÅ‚Ã³w Sp. z o.o.,NamysÅ‚Ã³w,Rycerskie,7%,?,?,german_lager|traditional_german_style_bock
Browar Okocim,Brzesko,O.K. Beer,?,?,?,?
Browar Okocim,Brzesko,Okocim Porter,8.3%,?,?,irish_ale|porter
Browar Warka,Warka,Warka Strong,7%,?,?,north_american_lager|american_style_lager
Browar Zywiec,Zywiec,Krakus,?,?,?,?
Browar Zywiec,Zywiec,Porter,9.5%,?,?,north_american_ale|american_style_stout
Tyskie Browary KsiÄ…Å¼Ä™ce,Tychy,Tyskie Gronie,5.7%,?,?,?
