Brewery,City,Name,Abv,Ibu,Srm,Tags
Agassiz Brewing,Winnipeg,Catfish Cream Ale,5%,?,?,north_american_lager|american_style_lager
Half Pints Brewing Company,Winnipeg,Little Scrapper IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
