Brewery,City,Name,Abv,Ibu,Srm,Tags
Cervecera Nacional,El Dorado,Atlas Lager,3.75%,?,?,north_american_lager|american_style_lager
Cervecera Nacional,El Dorado,Balboa Cerveza Pilsner,?,?,?,north_american_lager|american_style_lager
Cervecera Nacional,El Dorado,Cabro Extra,?,?,?,north_american_lager|american_style_lager
