Brewery,City,Name,Abv,Ibu,Srm,Tags
Bryggeriet lfabrikken,Tisvildeleje,Porter,8%,?,?,irish_ale|porter
Carlsberg Bryggerierne,Kbenhavn,47 Bryg,7%,?,?,german_lager|traditional_german_style_bock
Carlsberg Bryggerierne,Kbenhavn,Elephant,7.2%,?,?,german_lager|traditional_german_style_bock
Carlsberg Bryggerierne,Kbenhavn,Jacobsen Dark Lager,5.8%,?,?,?
Mikkeller,KÃ¸benhavn,Beer Geek Breakfast,7.5%,?,?,north_american_ale|american_style_imperial_stout
Mikkeller,KÃ¸benhavn,Simcoe Single Hop IPA,6.9%,?,?,north_american_ale|american_style_india_pale_ale
