Brewery,City,Name,Abv,Ibu,Srm,Tags
Baltika Breweries,St. Petersburg,Baltika 6,7%,20,30,other_lager|baltic_style_porter
Ostankinskij Pivovarennij Zavod,Moskva,Beer,?,?,?,north_american_lager|american_style_lager
Pivzavod Baltika /,Sankt-Peterburg,Baltika #5,5.3%,?,?,north_american_lager|american_style_lager
Pivzavod Baltika /,Sankt-Peterburg,Baltika #8,5%,?,?,other_style|light_american_wheat_ale_or_lager
Pivzavod Baltika /,Sankt-Peterburg,Baltika #9,8%,?,?,north_american_lager|american_style_lager
Pivzavod Baltika /,Sankt-Peterburg,Baltika 6 Porter,7%,?,?,irish_ale|porter
