Brewery,City,Name,Abv,Ibu,Srm,Tags
Cervejaria Kaiser Brasil,Ponta Grossa,Xingu,4.7%,?,?,german_lager|german_style_schwarzbier
Cervejaria Sudbrack,Blumenau,Eisenbahn Defumada,?,?,?,?
Cervejaria Sudbrack,Blumenau,Eisenbahn Dourada,?,?,?,?
Cervejaria Sudbrack,Blumenau,Eisenbahn Escura,?,?,?,german_lager|german_style_schwarzbier
Cervejaria Sudbrack,Blumenau,Eisenbahn South American Pale Ale (S.A.P.A.),?,?,?,north_american_ale|american_style_pale_ale
Cervejaria Sudbrack,Blumenau,Eisenbahn Weizenbock,8%,?,?,german_ale|south_german_style_weizenbock
