Brewery,City,Name,Abv,Ibu,Srm,Tags
Moosehead Breweries,Saint John,Canadian Lager Beer,5%,?,?,north_american_lager|american_style_lager
Moosehead Breweries,Saint John,Moosehead Lager,5%,?,?,north_american_lager|american_style_lager
