Brewery,City,Name,Abv,Ibu,Srm,Tags
Hook Norton Brewery,Hook Norton,Best Bitter,3.4%,?,?,?
Hook Norton Brewery,Hook Norton,Generation,4%,?,?,?
Hook Norton Brewery,Hook Norton,Old Hooky,4.6%,?,?,?
Hook Norton Brewery,Hook Norton,Twelve Days,5.5%,?,?,north_american_ale|american_style_stout
Hop Back Brewery,Salisbury,Entire Stout,4.5%,?,?,north_american_ale|american_style_stout
Hop Back Brewery,Salisbury,Pickled Santa,6%,?,?,?
Hop Back Brewery,Salisbury,Summer Lightning,5%,?,?,?
Hop Back Brewery,Salisbury,Thunder Storm,5%,?,?,north_american_lager|american_style_lager
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 1997,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 1998,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 1999,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2000,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2001,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2002,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2005,11.5%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2005 (Calvados),11.5%,?,?,?
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2005 (Port),11.5%,?,?,?
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2005 (Sherry),11.5%,?,?,?
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2005 (Whisky),11.5%,?,?,?
JW Lees and Co (Brewers) Ltd.,Manchester,Harvest Ale 2006,11.6%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Manchester Star Ale,7.3%,?,?,british_ale|old_ale
JW Lees and Co (Brewers) Ltd.,Manchester,Moonraker,7.5%,?,?,?
Jennings Brewery,Cockermouth,Sneck Lifter,5.1%,?,?,north_american_ale|dark_american_belgo_style_ale
King and Barnes,Horsham,Worthington White Shield,?,?,?,?
Lanchester Brewing,Durham,Storm Super Premium Malt Liquor,10%,?,?,north_american_lager|american_style_lager
McMullen & Sons,Hertford,AK Original Bitter,?,?,?,?
McMullen & Sons,Hertford,Special Reserve Anniversary Porter,?,?,?,irish_ale|porter
McMullen & Sons,Hertford,Special Reserve Oatmeal Ale,?,?,?,north_american_ale|american_style_pale_ale
Meantime Brewing Company Limited,Greenwich,India Pale Ale,7.5%,?,?,north_american_ale|american_style_pale_ale
Meantime Brewing Company Limited,Greenwich,London Porter,6.5%,?,?,irish_ale|porter
Meantime Brewing Company Limited,Greenwich,Meantime Coffee,6%,?,?,irish_ale|porter
Moorhouse's Brewery (Burnley),Burnley,Black Cat,3.4%,?,?,british_ale|english_style_pale_mild_ale
Moorhouse's Brewery (Burnley),Burnley,Pendle Witches Brew,5.1%,?,?,north_american_ale|american_style_pale_ale
Mordue Brewery,Wallsend,Radgie Gadgie,?,?,?,?
Morland and Co.,Abingdon,Old Speckled Hen,5.2%,?,?,british_ale|classic_english_style_pale_ale
Morland and Co.,Abingdon,Tanners Jack,4.4%,?,?,?
Nethergate Brewery Co Ltd,Pentlow,Augustinian Ale,5.2%,?,?,?
Nethergate Brewery Co Ltd,Pentlow,Old Growler,6.5%,?,?,irish_ale|porter
Oakham Ales,Peterborough,Jeffrey Hudson Bitter,?,?,?,?
RCH Brewery,Weston-super-Mare,Ale Mary,6%,?,?,north_american_ale|american_style_pale_ale
RCH Brewery,Weston-super-Mare,Old Slug Porter,4.5%,?,?,irish_ale|porter
RCH Brewery,Weston-super-Mare,Pitchfork Rebellious Bitter,4.3%,?,?,?
Ridgeway Brewing,South Stoke,Bitter,4%,?,?,?
Ridgeway Brewing,South Stoke,Criminally Bad Elf,10.5%,?,?,?
Ridgeway Brewing,South Stoke,IPA,5.5%,?,?,north_american_ale|american_style_india_pale_ale
Ridgeway Brewing,South Stoke,Ivanhoe,5.2%,?,?,north_american_ale|american_style_pale_ale
Ridgeway Brewing,South Stoke,Lump of Coal Dark Holiday Stout,8%,?,?,north_american_ale|american_style_stout
Ridgeway Brewing,South Stoke,Seriously Bad Elf,9%,?,?,?
Ridgeway Brewing,South Stoke,Very Bad Elf Special Reserve Ale,7.5%,?,?,?
Ridgeway Brewing,South Stoke,Warm Welcome Nut Browned Ale,6%,?,?,north_american_ale|american_style_brown_ale
Salopian Brewery,Shrewsbury,Entire Butt English Porter,?,?,?,irish_ale|porter
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Imperial Stout,7%,?,?,north_american_ale|american_style_stout
Samuel Smith Old Brewery (Tadcaster),Tadcaster,India Ale,?,?,?,north_american_ale|american_style_pale_ale
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Nut Brown Ale,5%,?,?,north_american_ale|american_style_brown_ale
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Oatmeal Stout,5%,?,?,north_american_ale|american_style_stout
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Organic Ale,5%,?,?,north_american_ale|golden_or_blonde_ale
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Taddy Porter,5%,?,?,irish_ale|porter
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Winter Welcome 1996-1997,?,?,?,?
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Winter Welcome 2007-2008,6%,?,?,?
Samuel Smith Old Brewery (Tadcaster),Tadcaster,Winter Welcome 2008-2009,6%,?,?,other_style|winter_warmer
Sarah Hughes Brewery,Dudley,Dark Ruby Ale,?,?,?,?
Scottish & Newcastle Breweries,Newcastle-upon-Tyne,Newcastle Brown Ale,4.7%,?,?,north_american_ale|american_style_brown_ale
Shepherd Neame,Faversham,Bishops Finger Kentish Strong Ale,5.4%,?,?,?
Shepherd Neame,Faversham,Master Brew Bitter,4%,?,?,?
Shepherd Neame,Faversham,Spitfire Premium Kentish Strong Ale,4.5%,?,?,?
St Peter's Brewery,Bungay,Cream Stout,6.5%,?,?,north_american_ale|american_style_stout
St Peter's Brewery,Bungay,English Ale,?,?,?,north_american_ale|american_style_pale_ale
St Peter's Brewery,Bungay,Golden Ale,4.7%,?,?,?
St Peter's Brewery,Bungay,India Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
St Peter's Brewery,Bungay,Old-Style Porter,5.1%,?,?,irish_ale|porter
St Peter's Brewery,Bungay,St Peter's Organic Ale,4.5%,?,?,british_ale|classic_english_style_pale_ale
