Brewery,City,Name,Abv,Ibu,Srm,Tags
Qingdao Brewery,Qingdao,Green Beer,?,?,?,north_american_lager|american_style_lager
Tsingtao,Qingdao,Red Dragon Xtreme,?,?,?,north_american_lager|american_style_lager
