Brewery,City,Name,Abv,Ibu,Srm,Tags
Desnoes & Geddes Ltd,Kingston,Dragon Stout,7.5%,?,?,north_american_ale|american_style_stout
Desnoes & Geddes Ltd,Kingston,Guinness Foreign Extra,6.5%,?,?,north_american_ale|american_style_stout
Desnoes & Geddes Ltd,Kingston,Red Stripe Lager Beer,?,?,?,north_american_lager|american_style_lager
