Brewery,City,Name,Abv,Ibu,Srm,Tags
Birra Forst,Lagundo / Algund,Sixtus,?,?,?,german_lager|traditional_german_style_bock
Birra Moretti,Udine,Birra Moretti La Rossa,7.2%,?,?,german_lager|traditional_german_style_bock
Birra Moretti,Udine,La Rossa,7.2%,?,?,german_lager|traditional_german_style_bock
Birrificia Le Baladin,Piozzo,Nora,7%,?,?,?
Birrificia Le Baladin,Piozzo,NoÃ«l,?,?,?,british_ale|old_ale
Birrificia Le Baladin,Piozzo,Super,8%,?,?,?
Birrificia Le Baladin,Piozzo,Wayan,5.6%,?,?,?
Birrificio Torrechiara,Torrechiara,Panil BarriquÃ©e,?,?,?,?
